id    , name     , moneda      , estado    , producto                                                                                                                             , cantidad   , precio_unitario
""    , ""       , ""          , ""        , "  └─ Emitter con pilas alcalinas"                                                                                                   , "15.0"     , "276.25"
""    , ""       , ""          , ""        , "  └─ Bateria alcalina para emitter OSID"                                                                                            , "20.0"     , "68.75"
""    , ""       , ""          , ""        , "  └─ Gastos de Importacion"                                                                                                         , "1.0"      , "45.0"
"1782", "PO01779", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Controlador de acceso con reconocimiento facial"                                                                               , "1.0"      , "148.0"
"1781", "PO01778", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Panel Asenware 4 Zonas "                                                                                                       , "3.0"      , "200.0"
"1777", "PO01774", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Humo test"                                                                                                                     , "15.0"     , "18.0"
"1768", "PO01765", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Cámara IP tipo Domo 4MP - Micrófono Incorporado"                                                                               , "1.0"      , "48.3"
""    , ""       , ""          , ""        , "  └─ Sin nombre"                                                                                                                    , "0.0"      , "0.0"
"1767", "PO01764", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Modelo de interfaz de detector lineal"                                                                                         , "9.0"      , "55.02"
""    , ""       , ""          , ""        , "  └─ Modelo de final de línea de detector lineal"                                                                                   , "9.0"      , "37.1"
""    , ""       , ""          , ""        , "  └─ Cable detector de calor de 68 grados para uso convencional"                                                                    , "1200.0"   , "1.54"
"1766", "PO01763", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ CONTADOR DE PERSONAS 3D PRO 2.0 (Blanco 160°)"                                                                                 , "10.0"     , "450.0"
""    , ""       , ""          , ""        , "  └─ CONTADOR DE PERSONAS 3D PLUS 140° FOOTFALL"                                                                                    , "1.0"      , "3.0"
""    , ""       , ""          , ""        , "  └─ Gastos por Envio/ Delivery"                                                                                                    , "1.0"      , "381.0"
"1760", "PO01757", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Placa NEO de 64 zonas"                                                                                                         , "1.0"      , "83.0"
"1749", "PO01746", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Radar para Barrera de Estacionamiento (Sensor para Detección de Obstáculos) - ZKTECO"                                          , "2.0"      , "220.0"
""    , ""       , ""          , ""        , "  └─ Sin nombre"                                                                                                                    , "0.0"      , "0.0"
"1748", "PO01745", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ PROFESSIONAL software updates per IP camera  per year."                                                                        , "51.0"     , "23.4"
"1747", "PO01744", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Licencia abierta de cámara IP PROFESIONAL por cámara. para servidor exacqVision."                                              , "2.0"      , "110.4"
"1745", "PO01742", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ ANTENA RFID SENSORMATIC"                                                                                                       , "2.0"      , "2136.9235"
""    , ""       , ""          , ""        , "  └─ Placa de Red RS435 - Sensormatic"                                                                                              , "2.0"      , "755.712"
""    , ""       , ""          , ""        , "  └─ Cable CAT6 PCH RJ45M 7 - Sensormatic"                                                                                          , "12.0"     , "6.9397"
""    , ""       , ""          , ""        , "  └─ Soporte Ajustable de 1' 6” a 2' 8”  VESA 75 y 100  Máx. 35 lb  Blanco  UL "                                                    , "2.0"      , "65.6208"
""    , ""       , ""          , ""        , "  └─ IMPINJ OHD  UNIV RDR W NA"                                                                                                     , "2.0"      , "2542.0"
""    , ""       , ""          , ""        , "  └─ Kit de Prueba para Tienda - Sensormatic"                                                                                       , "1.0"      , "25.3175"
""    , ""       , ""          , ""        , "  └─ Antena RFID - Sensormatic"                                                                                                     , "2.0"      , "2136.9235"
""    , ""       , ""          , ""        , "  └─ Cable de Alimentación - Sensormatic"                                                                                           , "2.0"      , "2.6322"
"1744", "PO01741", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Separador de etiqueta Sonar Snap tag"                                                                                          , "1.0"      , "108.42"
""    , ""       , ""          , ""        , "  └─ DESACTIVADOR COMPACT PAD PRO DE ESCRITORIO "                                                                                   , "1.0"      , "571.3"
""    , ""       , ""          , ""        , "  └─ Base para antenas - Sensormatic"                                                                                               , "4.0"      , "159.1876"
""    , ""       , ""          , ""        , "  └─ Bolsa de Prueba Cliente - Sensormatic"                                                                                         , "1.0"      , "27.6051"
""    , ""       , ""          , ""        , "  └─ ZASE-E25B2-12M 1180 DUAL 2.5M W/9060-BLK 12M SENSORMATIC"                                                                      , "2.0"      , "2466.7544"
""    , ""       , ""          , ""        , "  └─ Doble Chequeador (Inditex) - Sensormatic"                                                                                      , "2.0"      , "418.0"
""    , ""       , ""          , ""        , "  └─ Separador Manual AMD-3040 ST - Sensormatic"                                                                                    , "1.0"      , "62.3293"
""    , ""       , ""          , ""        , "  └─ Tablero de Detección de Lámina Metálica - Sensormatic"                                                                         , "2.0"      , "572.0"
""    , ""       , ""          , ""        , "  └─ Cable de Poder para RFID - Sensormatic"                                                                                        , "7.0"      , "4.9282"
""    , ""       , ""          , ""        , "  └─ Cable de Extensión 10ft. MCX to RP SMA - Sensormatic"                                                                          , "3.0"      , "39.9767"
""    , ""       , ""          , ""        , "  └─ Repetidora de Señal - Sensormatic"                                                                                             , "2.0"      , "121.2354"
""    , ""       , ""          , ""        , "  └─ Fuente 24/2A  100-240VAC - Sensormatic"                                                                                        , "3.0"      , "22.5515"
""    , ""       , ""          , ""        , "  └─ Antena RFID de Punto de Venta  Negro - Sensormatic"                                                                            , "3.0"      , "138.402"
""    , ""       , ""          , ""        , "  └─ Separador Eléctrico Supertag - Sensormatic"                                                                                    , "3.0"      , "241.8874"
""    , ""       , ""          , ""        , "  └─ Etiqueta Sonar Snap Tag 58Khz  Negro - Sensormatic"                                                                            , "30.0"     , "1.21"
""    , ""       , ""          , ""        , "  └─ Lector RFID UHF IDX-4000 - Sensormatic"                                                                                        , "3.0"      , "712.9173"
""    , ""       , ""          , ""        , "  └─ Fuente de Alimentación - Sensormatic"                                                                                          , "2.0"      , "18.571"
"1743", "PO01740", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Fuente para AMB2011 -  Sensormatic"                                                                                            , "30.0"     , "51.09"
"1738", "PO01735", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Panel de control Direccionable (250 Direcciones) MX"                                                                           , "5.0"      , "469.92"
"1737", "PO01734", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ CABLE DE DATOS 18/2 AWG SIN MALLA"                                                                                             , "23485.0"  , "0.37472"
