id    , name     , moneda      , estado    , producto                                                                                                                             , cantidad   , precio_unitario
""    , ""       , ""          , ""        , "  └─ Placa de Expansión ADR / SAVER 127 direcciones."                                                                               , "5.0"      , "168.03"
""    , ""       , ""          , ""        , "  └─ Detector de calor direccionable"                                                                                               , "300.0"    , "19.4"
""    , ""       , ""          , ""        , "  └─ Detector fotoeléctrico/calor direccionable analógico"                                                                          , "1000.0"   , "19.2"
""    , ""       , ""          , ""        , "  └─ Base de detector estándar "                                                                                                    , "1300.0"   , "0.0"
""    , ""       , ""          , ""        , "  └─ Pulsador direccionable"                                                                                                        , "60.0"     , "21.15"
""    , ""       , ""          , ""        , "  └─ Seccionador de línea (Base Aisladora)"                                                                                         , "50.0"     , "34.95"
""    , ""       , ""          , ""        , "  └─ Cable de Programador de dirección de dispositivo para panel de control serie 7."                                               , "4.0"      , "19.05"
""    , ""       , ""          , ""        , "  └─ Fuente de alimentación auxiliar direccionable"                                                                                 , "2.0"      , "187.78"
"1553", "PO01550", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ CONTADOR DE PERSONAS 3D MINI PARA BUS (BLE) FOOTFALL"                                                                          , "1.0"      , "198.0"
""    , ""       , ""          , ""        , "  └─ Cámara de vigilancia 3D Pro2 (autobús) (160 grados) FOOTFALL"                                                                  , "1.0"      , "450.0"
""    , ""       , ""          , ""        , "  └─ FaceCam (68grados) FOOTFALL"                                                                                                   , "1.0"      , "249.0"
""    , ""       , ""          , ""        , "  └─ FootfallCam 3D Pro2 (1.5) (blanco  160 grados)"                                                                                , "1.0"      , "450.0"
""    , ""       , ""          , ""        , "  └─ Gastos de Importacion"                                                                                                         , "1.0"      , "166.82"
"1552", "PO01549", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ NVR 64 Canales  8 Interfaces SATA  Negro  UNV"                                                                                 , "1.0"      , "378.0"
"1550", "PO01547", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Etiqueta Focus 2.6 GL111  Ng/Rj/Bl (Carcasa Blanca) Imagotag"                                                                  , "240.0"    , "7.33"
""    , ""       , ""          , ""        , "  └─ Etiqueta Vusion 2.6 Negro Blanco Rojo GU140 Blanco"                                                                            , "720.0"    , "7.88"
""    , ""       , ""          , ""        , "  └─ Vusion foostand small (transparent)"                                                                                           , "700.0"    , "0.15"
""    , ""       , ""          , ""        , "  └─ Clip Universal Adhesivo (1 6` - 2 9`) - Imagotag"                                                                              , "200.0"    , "0.88"
""    , ""       , ""          , ""        , "  └─ Vusion Paquete de abrazaderas Scorpion - negro"                                                                                , "50.0"     , "3.28"
""    , ""       , ""          , ""        , "  └─ Herramienta para Remover Etiquetas Imagotag"                                                                                   , "10.0"     , "4.46"
""    , ""       , ""          , ""        , "  └─ VUSION Easy UnLock Tool"                                                                                                       , "2.0"      , "35.87"
""    , ""       , ""          , ""        , "  └─ Cloudpoint USA/ Canada bundle incl"                                                                                            , "3.0"      , "299.48"
""    , ""       , ""          , ""        , "  └─ Etiqueta Vusion 2.6 GU140  Ng/Rj/Bl/Am Imagotag "                                                                              , "5.0"      , "8.28"
""    , ""       , ""          , ""        , "  └─ Etiqueta Vusion 4.2 GU140  Ng/Rj/Bl/Am Imagotag  "                                                                             , "5.0"      , "17.46"
""    , ""       , ""          , ""        , "  └─ Etiqueta Vusion 9.7 GU110  F/SW B/SW Imagotag   "                                                                              , "5.0"      , "62.58"
"1549", "PO01546", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ UPS VERTIV PSL 1500VA PSL1500BX-230"                                                                                           , "1.0"      , "201.36"
""    , ""       , ""          , ""        , "  └─ Sin nombre"                                                                                                                    , "0.0"      , "0.0"
"1546", "PO01543", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Anunciador Remoto SIMPLEX"                                                                                                     , "1.0"      , "1594.4"
"1545", "PO01542", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ RANURA PARA TARJETA DE INTERFAZ ESNET NTWK"                                                                                    , "4.0"      , "595.88"
""    , ""       , ""          , ""        , "  └─ TARJETA DE MEDIOS DE FIBRA ES NET SM"                                                                                          , "3.0"      , "379.36"
""    , ""       , ""          , ""        , "  └─ TARJETA DE MEDIOS ETHERNET ES NET"                                                                                             , "1.0"      , "96.9"
""    , ""       , ""          , ""        , "  └─ Sistema de Aspiración - VESDA - XTRALIS"                                                                                       , "1.0"      , "4649.49"
"1544", "PO01541", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ TARJETA"                                                                                                                       , "3.0"      , "150.45"
"1543", "PO01540", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Gabinete de 2 bahias Rojo - SIMPLEX"                                                                                           , "1.0"      , "523.4"
""    , ""       , ""          , ""        , "  └─ TSW SOFTWARE ONLY"                                                                                                             , "1.0"      , "6931.68"
"1539", "PO01536", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Placa HS2032 de 8 expandible a 32 zonas cableadas o inalambricas + Teclado HS2INC LCD a Icono"                                 , "10.0"     , "122.0"
""    , ""       , ""          , ""        , "  └─ MODULO EXPANSOR DE 8 ZONAS CABLEADAS NEO"                                                                                      , "7.0"      , "32.0"
""    , ""       , ""          , ""        , "  └─ Gabinete metalico P/PC 1832/1864 - DSC"                                                                                        , "6.0"      , "17.0"
""    , ""       , ""          , ""        , "  └─ Humo test"                                                                                                                     , "24.0"     , "18.0"
"1537", "PO01534", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Safer tipo vitrina con tapa SM Blanco"                                                                                         , "2.0"      , "33.23"
""    , ""       , ""          , ""        , "  └─ Gastos de Importacion"                                                                                                         , "1.0"      , "24.59"
"1529", "PO01526", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ CONTADOR DE PERSONAS 3D PRO 2.0 (Blanco 160°)"                                                                                 , "16.0"     , "450.0"
""    , ""       , ""          , ""        , "  └─ Gastos de Importacion"                                                                                                         , "1.0"      , "277.18"
"1522", "PO01519", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Sensor de fotos analógico Humo/Calor SIMPLEX IDNET"                                                                            , "268.0"    , "9.0"
"1521", "PO01518", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Sensor de fotos analógico Humo/Calor SIMPLEX IDNET"                                                                            , "12.0"     , "9.0"
"1520", "PO01517", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Sensor de fotos analógico Humo/Calor SIMPLEX IDNET"                                                                            , "720.0"    , "9.0"
"1519", "PO01516", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Sensor humo y calor - MX"                                                                                                      , "600.0"    , "17.25"
""    , ""       , ""          , ""        , "  └─ Base de sensor MX"                                                                                                             , "600.0"    , "1.73"
""    , ""       , ""          , ""        , "  └─ Módulo adaptador ZAM MX"                                                                                                       , "100.0"    , "31.05"
""    , ""       , ""          , ""        , "  └─ Pulsador Manual Doble Acción - MX - Simplex"                                                                                   , "50.0"     , "28.75"
"1517", "PO01514", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Safer 12 5cm*12 5cm*7cm"                                                                                                       , "168.0"    , "1.3"
""    , ""       , ""          , ""        , "  └─ Safer 15cm*12cm*4 5cm"                                                                                                         , "100.0"    , "2.18"
""    , ""       , ""          , ""        , "  └─ Safer 20cm*11cm*08cm"                                                                                                          , "300.0"    , "1.6"
""    , ""       , ""          , ""        , "  └─ Safer 25cm*20cm*15cm"                                                                                                          , "64.0"     , "3.8"
"1515", "PO01512", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Camera IP WIFI PTZ 3MP UNIARCH"                                                                                                , "20.0"     , "19.75"
""    , ""       , ""          , ""        , "  └─ Kit de intercomunicador con video para villa (estación de puerta de un botón  estación interior  interruptor)"                 , "5.0"      , "112.21"
""    , ""       , ""          , ""        , "  └─ MONITOR INTERACTIVO LED de 65” UNV"                                                                                            , "3.0"      , "637.32"
""    , ""       , ""          , ""        , "  └─ Fisheye IP 5MP 1.4mm POE. ranura para micro SD. con MIC."                                                                      , "5.0"      , "103.22"
""    , ""       , ""          , ""        , "  └─ MONITOR INTERACTIVO LED de 86” UNV"                                                                                            , "1.0"      , "798.89"
""    , ""       , ""          , ""        , "  └─ Bullet Network Camera 4MP Double Light WDR Intelligence"                                                                       , "10.0"     , "32.32"
""    , ""       , ""          , ""        , "  └─ Cámara analógica ColorHunter HD PT de 2 MP"                                                                                    , "30.0"     , "17.05"
""    , ""       , ""          , ""        , "  └─ Conector USB Alámbrico (Dongle) para Monitor Interactivo - UNV"                                                                , "5.0"      , "44.9"
""    , ""       , ""          , ""        , "  └─ Cámara PT Smart de audio y vídeo HD de 2 MP"                                                                                   , "100.0"    , "10.77"
""    , ""       , ""          , ""        , "  └─ Cámara PT para exteriores con doble lente y Wi-Fi de 3 MP + 3 MP"                                                              , "5.0"      , "29.63"
""    , ""       , ""          , ""        , "  └─ Cámara bullet fija gran angular ColorHunter HD de 4 MP"                                                                        , "2.0"      , "64.46"
""    , ""       , ""          , ""        , "  └─ Bullet analógica de 2MP Color Hunter UNV"                                                                                      , "1083.0"   , "6.82"
""    , ""       , ""          , ""        , "  └─ SOPORTE PARA MONITOR UNV"                                                                                                      , "1.0"      , "76.03"
""    , ""       , ""          , ""        , "  └─ NVR Grabador de vídeo en red inteligente de 9 canales y 2 discos duros"                                                        , "2.0"      , "71.82"
"1514", "PO01511", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Detector de Metales Portátil - ZKTECO"                                                                                         , "30.0"     , "12.0"
""    , ""       , ""          , ""        , "  └─ Cerradura Inteligente con Huella Digital y Wi-Fi - ZKTECO"                                                                     , "20.0"     , "54.0"
""    , ""       , ""          , ""        , "  └─ Terminal para Gestión de Asistencia con Reconocimiento de Huella Digital - ZKTECO"                                             , "10.0"     , "36.4"
""    , ""       , ""          , ""        , "  └─ Arco Detector 18 Zonas  256 Niveles de Sensibilidad - ZKTECO"                                                                  , "5.0"      , "378.0"
""    , ""       , ""          , ""        , "  └─ Arco Detector 18 Zonas  500 Niveles de Sensibilidad - ZKTECO"                                                                  , "3.0"      , "540.0"
""    , ""       , ""          , ""        , "  └─ Radar para Barrera de Estacionamiento (Sensor para Detección de Obstáculos) - ZKTECO"                                          , "2.0"      , "104.0"
""    , ""       , ""          , ""        , "  └─ Panel IP para Control de Acceso"                                                                                               , "1.0"      , "197.0"
""    , ""       , ""          , ""        , "  └─ Panel IP para Control de Acceso (4 puerta)"                                                                                    , "1.0"      , "236.0"
""    , ""       , ""          , ""        , "  └─ Gastos de Importacion"                                                                                                         , "1.0"      , "35.0"
"1511", "PO01508", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Transformador 220-16. 5V 4A"                                                                                                   , "5.0"      , "10.0"
""    , ""       , ""          , ""        , "  └─ Humo test"                                                                                                                     , "20.0"     , "18.0"
""    , ""       , ""          , ""        , "  └─ Gabinete metalico P/PC 1832/1864 - DSC"                                                                                        , "3.0"      , "17.0"
"1508", "PO01505", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Transformador 220-16. 5V 4A"                                                                                                   , "5.0"      , "10.0"
"1506", "PO01503", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Módulo adaptador ZAM MX"                                                                                                       , "20.0"     , "31.05"
"1504", "PO01501", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Placa HS2032 de 8 expandible a 32 zonas cableadas o inalambricas + Teclado HS2INC LCD a Icono"                                 , "10.0"     , "124.0"
""    , ""       , ""          , ""        , "  └─ MODULO EXPANSOR DE 8 ZONAS CABLEADAS NEO"                                                                                      , "15.0"     , "32.0"
""    , ""       , ""          , ""        , "  └─ Gabinete metalico P/PC 1832/1864 - DSC"                                                                                        , "12.0"     , "17.0"
""    , ""       , ""          , ""        , "  └─ Humo test"                                                                                                                     , "12.0"     , "18.0"
""    , ""       , ""          , ""        , "  └─ Teclado LCD Alfanumérico cableado NEO"                                                                                         , "1.0"      , "95.0"
"1498", "PO01495", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Teclado LCD Alfanumérico cableado NEO"                                                                                         , "2.0"      , "95.0"
""    , ""       , ""          , ""        , "  └─ REPETIDOR INALAMB POWERG NEO"                                                                                                  , "6.0"      , "115.0"
"1497", "PO01494", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Escritorio Operativo"                                                                                                          , "1.0"      , "193.5"
""    , ""       , ""          , ""        , "  └─ Cajonera Rodante"                                                                                                              , "1.0"      , "189.0"
"1495", "PO01492", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Separador Electrico SuperTag SENSORMATIC"                                                                                      , "1.0"      , "243.04"
"1493", "PO01490", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ UPS VERTIV PSL 1500VA PSL1500BX-230"                                                                                           , "1.0"      , "220.0"
"1492", "PO01489", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Software - Hotelería inteligente inalámbrica"                                                                                  , "10.0"     , "7.0"
"1490", "PO01487", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ DISCO DURO 8TB PURPLE - WESTER DIGITAL"                                                                                        , "5.0"      , "226.57"
"1489", "PO01486", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ IR SAFER - 8.5H x 6.0W x 0.9D inch  Transparente - Invue"                                                                      , "100.0"    , "6.55"
""    , ""       , ""          , ""        , "  └─ Placa adhesiva Super LSE 58mm x 92mm  INVUE"                                                                                   , "100.0"    , "5.98"
""    , ""       , ""          , ""        , "  └─ Base para NE150 (Soporte para tablet)  Negro - Invue"                                                                          , "2.0"      , "122.55"
""    , ""       , ""          , ""        , "  └─ Mango para NE150 (Soporte para tablet) con USB-C  Negro - Invue"                                                               , "2.0"      , "58.7"
""    , ""       , ""          , ""        , "  └─ Fuente de Alimentación de 24 V/2 A - Invue"                                                                                    , "2.0"      , "27.35"
""    , ""       , ""          , ""        , "  └─ Llave de desactivacion IR4 INVUE"                                                                                              , "30.0"     , "59.75"
""    , ""       , ""          , ""        , "  └─ Estación de de carga - InVue"                                                                                                  , "5.0"      , "39.4"
""    , ""       , ""          , ""        , "  └─ Cable de Carga Individual IR4 Cable de Comunicación y Alimentación - InVue"                                                    , "10.0"     , "19.25"
""    , ""       , ""          , ""        , "  └─ Estación de Carga IR4 8 - InVue"                                                                                               , "2.0"      , "61.3"
""    , ""       , ""          , ""        , "  └─ Brazo recto -1.5IN (38MM)"                                                                                                     , "100.0"    , "1.14"
"1488", "PO01485", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Contacto magnético de metal  NC  NO. Con soporte tipo L."                                                                      , "150.0"    , "5.05"
""    , ""       , ""          , ""        , "  └─ Detector de Humo Calor fotoeléctrico de 2 cables"                                                                              , "200.0"    , "5.0"
""    , ""       , ""          , ""        , "  └─ Pulsador manual de incendio convencional "                                                                                     , "150.0"    , "4.5"
""    , ""       , ""          , ""        , "  └─ Detector termovelocimétrico de 2 hilos "                                                                                       , "800.0"    , "5.3"
""    , ""       , ""          , ""        , "  └─ Detector termovelocimétrico"                                                                                                   , "1500.0"   , "5.9"
""    , ""       , ""          , ""        , "  └─ Detector de Humo Calor SD218"                                                                                                  , "300.0"    , "4.5"
""    , ""       , ""          , ""        , "  └─ Detector de Humo Calor de 4 hilos sin UL"                                                                                      , "3500.0"   , "6.2"
""    , ""       , ""          , ""        , "  └─ Detector humo calor de 2 hilos con UL"                                                                                         , "1000.0"   , "6.9"
""    , ""       , ""          , ""        , "  └─ Detector de Humo Calor con UL SV"                                                                                              , "500.0"    , "8.2"
"1487", "PO01484", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ PEDESTAL AM - PRIMARIO"                                                                                                        , "30.0"     , "95.0"
""    , ""       , ""          , ""        , "  └─ PEDESTAL AM - SECUNDARIO"                                                                                                      , "30.0"     , "95.0"
""    , ""       , ""          , ""        , "  └─ SEPARADOR MANUAL MAGNETICO - 8000 GAUSS"                                                                                       , "120.0"    , "11.0"
""    , ""       , ""          , ""        , "  └─ SEPARADOR MANUAL TIPO SUPERTAG MK225"                                                                                          , "20.0"     , "14.0"
""    , ""       , ""          , ""        , "  └─ Safer 20cm*11cm*08cm"                                                                                                          , "100.0"    , "1.64"
"1484", "PO01481", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Panel Asenware 4 Zonas "                                                                                                       , "1.0"      , "210.0"
""    , ""       , ""          , ""        , "  └─ Panel Asenware 8 Zonas "                                                                                                       , "1.0"      , "250.0"
"1483", "PO01480", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ UPS 1000 V.A. PSL100BX-230"                                                                                                    , "1.0"      , "128.18"
"1469", "PO01466", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Panel de control Direccionable (250 Direcciones) MX"                                                                           , "2.0"      , "499.91"
"1468", "PO01465", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ DISCO DURO 1TB SURVEILLANCE - SEAGATE"                                                                                         , "5.0"      , "40.0"
""    , ""       , ""          , ""        , "  └─ DISCO DURO 2TB SURVEILLANCE - SEAGATE"                                                                                         , "5.0"      , "56.61"
"1467", "PO01464", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Nas Asustor AS6510T"                                                                                                           , "1.0"      , "1446.15"
"1463", "PO01460", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ DISCO DURO 8TB SKYHAW AI - SEAGATE"                                                                                            , "8.0"      , "195.0"
"1462", "PO01459", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ DISCO DURO 18TB PURPLE - WESTER DIGITAL"                                                                                       , "6.0"      , "492.274"
"1459", "PO01456", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Etiqueta Adhesiva AM SENSORMATIC (VPL)"                                                                                        , "1000000.0", "0.01298"
""    , ""       , ""          , ""        , "  └─ Pedestal Synergy Secundario 2.5   Gris - Sensormatic"                                                                          , "10.0"     , "750.41"
""    , ""       , ""          , ""        , "  └─ SS Cable - Sensormatic"                                                                                                        , "10.0"     , "28.34"
""    , ""       , ""          , ""        , "  └─ Pedestal Synergy Primario 2.5  Gris - Sensormatic"                                                                             , "10.0"     , "968.76"
""    , ""       , ""          , ""        , "  └─ Fuente para AMB2011 -  Sensormatic"                                                                                            , "30.0"     , "48.5355"
""    , ""       , ""          , ""        , "  └─ DESACTIVADOR ELECTRONICO AMB 2011 - SENSORMATIC"                                                                               , "50.0"     , "284.05"
""    , ""       , ""          , ""        , "  └─ Descuento Especial"                                                                                                            , "1.0"      , "-666.525"
"1451", "PO01448", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Sensor Dual Optico Termico FC460PH FIRECLASS"                                                                                  , "500.0"    , "25.63"
"1449", "PO01446", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ CONTACTO MAG INAL LARGO AL  - DSC"                                                                                             , "3.0"      , "32.0"
"1448", "PO01445", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Placa NEO de 64 zonas"                                                                                                         , "1.0"      , "83.0"
""    , ""       , ""          , ""        , "  └─ Módulo transceptor Power NEO"                                                                                                  , "2.0"      , "97.0"
""    , ""       , ""          , ""        , "  └─ CONTACTO MAGNETICO INAL. NEO"                                                                                                  , "39.0"     , "32.0"
""    , ""       , ""          , ""        , "  └─ DETECTOR DE MOV. INAL.POWERG NEO"                                                                                              , "33.0"     , "53.0"
""    , ""       , ""          , ""        , "  └─ Botón de pánico inalámbrico Power NEO"                                                                                         , "31.0"     , "38.0"
""    , ""       , ""          , ""        , "  └─ Comunicador de alarma via ethernet neo - DSC"                                                                                  , "2.0"      , "120.0"
""    , ""       , ""          , ""        , "  └─ REPETIDOR INALAMB POWERG NEO"                                                                                                  , "4.0"      , "115.0"
"1444", "PO01441", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ IoT  Ent LTSC SSD  8GB RAM  2 5 GbE Dual Integrado"                                                                            , "1.0"      , "4855.5"
"1441", "PO01438", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Transformador 220-16. 5V 4A"                                                                                                   , "10.0"     , "10.0"
"1431", "PO01428", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Etiqueta Adhesiva AM SENSORMATIC (LAP)"                                                                                        , "501200.0" , "0.00931"
""    , ""       , ""          , ""        , "  └─ Descuento Especial"                                                                                                            , "1.0"      , "-4.862"
"1430", "PO01427", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Placa HS2032 de 8 expandible a 32 zonas cableadas o inalambricas + Teclado HS2INC LCD a Icono"                                 , "10.0"     , "122.0"
""    , ""       , ""          , ""        , "  └─ MODULO EXPANSOR DE 8 ZONAS CABLEADAS NEO"                                                                                      , "17.0"     , "33.0"
""    , ""       , ""          , ""        , "  └─ Teclado LCD Alfanumérico cableado NEO"                                                                                         , "2.0"      , "95.0"
""    , ""       , ""          , ""        , "  └─ Gabinete metalico P/PC 1832/1864 - DSC"                                                                                        , "7.0"      , "17.0"
""    , ""       , ""          , ""        , "  └─ Placa NEO de 64 zonas"                                                                                                         , "1.0"      , "83.0"
"1429", "PO01426", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ CABLE UTP CAT6 INTERIOR AZUL - LANPRO"                                                                                         , "1220.0"   , "0.43935"
"1424", "PO01421", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Detector termovelocimétrico de 2 hilos "                                                                                       , "250.0"    , "6.3"
""    , ""       , ""          , ""        , "  └─ Detector termovelocimétrico"                                                                                                   , "500.0"    , "5.9"
""    , ""       , ""          , ""        , "  └─ Detector humo calor de 2 hilos con UL"                                                                                         , "2000.0"   , "6.9"
""    , ""       , ""          , ""        , "  └─ Detector de Humo Calor con UL SV"                                                                                              , "4000.0"   , "8.2"
""    , ""       , ""          , ""        , "  └─ Detector de Humo Calor de 4 hilos sin UL"                                                                                      , "500.0"    , "6.2"
""    , ""       , ""          , ""        , "  └─ Detector de Humo de 4 hilos auto reset"                                                                                        , "50.0"     , "7.5"
"1422", "PO01419", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ CABLE UTP CAT 6 INTERIOR GRIS - Furukawua"                                                                                     , "3050.0"   , "0.546"
"1421", "PO01418", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Teclado Lcd Iconos Cableados NEO con Proximidad"                                                                               , "1.0"      , "77.0"
"1415", "PO01412", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Separador Electrico SuperTag SENSORMATIC"                                                                                      , "2.0"      , "257.74"
"1414", "PO01411", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Notebook Asus R3 M515DA-BR929T/15.6/4/128"                                                                                     , "1.0"      , "285.45"
"1413", "PO01410", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Notebook Asus R3 M515DA-BR929T/15.6/4/128"                                                                                     , "1.0"      , "279.75"
"1412", "PO01409", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Monitor Acer 24` FHD VGA/HDMI"                                                                                                 , "1.0"      , "90.91"
""    , ""       , ""          , ""        , "  └─ Monitor Acer 24` FHD VGA/HDMI"                                                                                                 , "1.0"      , "90.91"
"1411", "PO01408", "USD-COMPRA", "purchase", "PADRE"                                                                                                                              , ""         , ""
